units = {

	### Naval OOB ###
	fleet = {
		name = "Republic of Singapore Navy"
		naval_base = 12299
		task_force = {
			name = "Republic of Singapore Navy"
			location = 12299
			ship = { name = "RSS Conqueror" definition = attack_submarine equipment = { attack_submarine_hull_1 = { amount = 1 owner = SIN creator = SWE version_name = "Sjöormen Class" } } }
			ship = { name = "RSS Chieftain" definition = attack_submarine equipment = { attack_submarine_hull_1 = { amount = 1 owner = SIN creator = SWE version_name = "Sjöormen Class" } } }

			ship = { name = "RSS Archer" definition = attack_submarine equipment = { attack_submarine_hull_2 = { amount = 1 owner = SIN creator = SWE version_name = "Södermanland Class" } } }
			ship = { name = "RSS Swordsman" definition = attack_submarine equipment = { attack_submarine_hull_2 = { amount = 1 owner = SIN creator = SWE version_name = "Södermanland Class" } } }

			ship = { name = "RSS Formidable 68" definition = frigate equipment = { frigate_hull_3 = { amount = 1 owner = SIN version_name = "Formidable Class" } } }
			ship = { name = "RSS Intrepid 69" definition = frigate equipment = { frigate_hull_3 = { amount = 1 owner = SIN version_name = "Formidable Class" } } }
			ship = { name = "RSS Steadfast 70" definition = frigate equipment = { frigate_hull_3 = { amount = 1 owner = SIN version_name = "Formidable Class" } } }
			ship = { name = "RSS Tenacious 71" definition = frigate equipment = { frigate_hull_3 = { amount = 1 owner = SIN version_name = "Formidable Class" } } }
			ship = { name = "RSS Stalwart 72" definition = frigate equipment = { frigate_hull_3 = { amount = 1 owner = SIN version_name = "Formidable Class" } } }
			ship = { name = "RSS Supreme 73" definition = frigate equipment = { frigate_hull_3 = { amount = 1 owner = SIN version_name = "Formidable Class" } } }

			ship = { name = "RSS Victory 88" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN creator = GER version_name = "Victory Class" } } }
			ship = { name = "RSS Valour 89" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN creator = GER version_name = "Victory Class" } } }
			ship = { name = "RSS Vigilance 90" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN creator = GER version_name = "Victory Class" } } }
			ship = { name = "RSS Valiant 91" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN creator = GER version_name = "Victory Class" } } }
			ship = { name = "RSS Vigour 92" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN creator = GER version_name = "Victory Class" } } }
			ship = { name = "RSS Vengeance 93" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN creator = GER version_name = "Victory Class" } } }

			ship = { name = "RSS Fearless 94" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN version_name = "Fearless Class" } } }
			ship = { name = "RSS Brave 95" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN version_name = "Fearless Class" } } }
			ship = { name = "RSS Gallant 97" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN version_name = "Fearless Class" } } }
			ship = { name = "RSS Daring 98" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN version_name = "Fearless Class" } } }
			ship = { name = "RSS Dauntless 99" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN version_name = "Fearless Class" } } }
			ship = { name = "RSS Resilience 82" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN version_name = "Fearless Class" } } }
			ship = { name = "RSS Unity 83" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN version_name = "Fearless Class" } } }
			ship = { name = "RSS Sovereignty 84" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN version_name = "Fearless Class" } } }
			ship = { name = "RSS Justice 85" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN version_name = "Fearless Class" } } }
			ship = { name = "RSS Freedom 86" definition = corvette equipment = { corvette_hull_3 = { amount = 1 owner = SIN version_name = "Fearless Class" } } }

			ship = { name = "RSS Independence 15" definition = corvette equipment = { corvette_hull_4 = { amount = 1 owner = SIN version_name = "Independence Class" } } }
			ship = { name = "RSS Sovereignty 16" definition = corvette equipment = { corvette_hull_4 = { amount = 1 owner = SIN version_name = "Independence Class" } } }
			ship = { name = "RSS Unity 17" definition = corvette equipment = { corvette_hull_4 = { amount = 1 owner = SIN version_name = "Independence Class" } } }
			ship = { name = "RSS Justice 18" definition = corvette equipment = { corvette_hull_4 = { amount = 1 owner = SIN version_name = "Independence Class" } } }
			ship = { name = "RSS Indomitable" definition = corvette equipment = { corvette_hull_4 = { amount = 1 owner = SIN version_name = "Independence Class" } } }
			ship = { name = "RSS Fortitude" definition = corvette equipment = { corvette_hull_4 = { amount = 1 owner = SIN version_name = "Independence Class" } } }
			ship = { name = "RSS Dauntless" definition = corvette equipment = { corvette_hull_4 = { amount = 1 owner = SIN version_name = "Independence Class" } } }
			ship = { name = "RSS Fearless" definition = corvette equipment = { corvette_hull_4 = { amount = 1 owner = SIN version_name = "Independence Class" } } }


			ship = { name = "RSS Endurance 207" definition = helicopter_operator equipment = { helicopter_operator_hull_2 = { amount = 1 owner = SIN version_name = "Endurance Class" } } }
			ship = { name = "RSS Resolution 208" definition = helicopter_operator equipment = { helicopter_operator_hull_2 = { amount = 1 owner = SIN version_name = "Endurance Class" } } }
			ship = { name = "RSS Persistence 209" definition = helicopter_operator equipment = { helicopter_operator_hull_2 = { amount = 1 owner = SIN version_name = "Endurance Class" } } }
			ship = { name = "RSS Endeavour 210" definition = helicopter_operator equipment = { helicopter_operator_hull_2 = { amount = 1 owner = SIN version_name = "Endurance Class" } } }

		}
	}
}
